Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
An uncommon connection attempt detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected an uncommon connection attempt utilizing a socks protocol. This is very rare in normal operations  but a known technique for attackers attempting to bypass network-layer detections.,Execution  Exfiltration  Exploitation,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_SuspectConnection)
Anomalous pod deployment (Preview),Kubernetes audit log analysis detected pod deployment which is anomalous based on previous pod deployment activity. This activity is considered an anomaly when taking into account how the different features seen in the deployment operation are in relations to one another. The features monitored include the container image registry used  the account performing the deployment  day of the week  how often this account performs pod deployments  user agent used in the operation  whether this is a namespace to which pod deployments often occur  and other features. Top contributing reasons for raising this alert as anomalous activity are detailed under the alert’s extended properties.,Execution,Medium,Alerts for containers - Kubernetes clusters,(K8S_AnomalousPodDeployment) 
Anomalous secret access (Preview),Kubernetes audit log analysis detected secret access request which is anomalous based on previous secret access activity. This activity is considered an anomaly when taking into account how the different features seen in the secret access operation are in relations to one another. The features monitored by this analytics include the user name used  the name of the secret  the name of the namespace  user agent used in the operation  or other features. Top contributing reasons for raising this alert as anomalous activity are detailed under the alert extended properties.,CredentialAccess,Medium,Alerts for containers - Kubernetes clusters,
Attempt to stop apt-daily-upgrade.timer service detected,Analysis of processes running within a container or directly on a Kubernetes node  has detected an attempt to stop apt-daily-upgrade.timer service. Attackers have been observed stopping this service to download malicious files and grant execution privileges for their attacks. This activity can also happen if the service is updated through normal administrative actions.,DefenseEvasion,Informational,Alerts for containers - Kubernetes clusters,(K8S.NODE_TimerServiceDisabled)
Behavior similar to common Linux bots detected (Preview),Analysis of processes running within a container or directly on a Kubernetes node  has detected the execution of a process normally associated with common Linux botnets.,Execution  Collection  Command And Control,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_CommonBot)
Behavior similar to Fairware ransomware detected,Analysis of processes running within a container detected the execution of rm -rf commands applied to suspicious locations. As rm -rf will recursively delete files  it is normally used on discrete folders. In this case  it is being used in a location that could remove a lot of data. Fairware ransomware is known to execute rm -rf commands in this folder.,Execution,Medium,Alerts for containers - Kubernetes clusters,(K8S.NODE_FairwareMalware)
Command within a container running with high privileges,Machine logs indicate that a privileged command was run in a Docker container. A privileged command has extended privileges on the host machine.,PrivilegeEscalation,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_PrivilegedExecutionInContainer)
Container running in privileged mode,Analysis of processes running within a container or directly on a Kubernetes node  has detected the execution of a Docker command that is running a privileged container. The privileged container has full access to the hosting pod or host resource. If compromised  an attacker may use the privileged container to gain access to the hosting pod or host.,PrivilegeEscalation  Execution,Low,Alerts for containers - Kubernetes clusters,(K8S.NODE_PrivilegedContainerArtifacts)
Container with a sensitive volume mount detected,Kubernetes audit log analysis detected a new container with a sensitive volume mount. The volume that was detected is a hostPath type which mounts a sensitive file or folder from the node to the container. If the container gets compromised  the attacker can use this mount for gaining access to the node.,Privilege Escalation,Medium,Alerts for containers - Kubernetes clusters,(K8S_SensitiveMount)
CoreDNS modification in Kubernetes detected,Kubernetes audit log analysis detected a modification of the CoreDNS configuration. The configuration of CoreDNS can be modified by overriding its configmap. While this activity can be legitimate  if attackers have permissions to modify the configmap  they can change the behavior of the cluster’s DNS server and poison it.,Lateral Movement,Low,Alerts for containers - Kubernetes clusters,(K8S_CoreDnsModification)
Creation of admission webhook configuration detected,Kubernetes audit log analysis detected a new admission webhook configuration. Kubernetes has two built-in generic admission controllers: MutatingAdmissionWebhook and ValidatingAdmissionWebhook. The behavior of these admission controllers is determined by an admission webhook that the user deploys to the cluster. The usage of such admission controllers can be legitimate  however attackers can use such webhooks for modifying the requests (in case of MutatingAdmissionWebhook) or inspecting the requests and gain sensitive information (in case of ValidatingAdmissionWebhook).,Credential Access  Persistence,Low,Alerts for containers - Kubernetes clusters,(K8S_AdmissionController)
